member,start,end,duration
716,1:16:46.134,1:16:46.435,0:00:00.300
717,1:16:47.235,1:16:47.536,0:00:00.300
718,1:16:58.146,1:17:03.051,0:00:04.904
719,1:17:04.319,1:17:11.927,0:00:07.607
720,1:17:05.220,1:17:31.713,0:00:26.493
721,1:17:12.260,1:17:12.928,0:00:00.667
722,1:17:13.895,1:17:14.696,0:00:00.800
723,1:17:15.097,1:17:20.802,0:00:05.705
724,1:17:23.672,1:17:24.206,0:00:00.533
725,1:17:24.506,1:17:29.211,0:00:04.704
726,1:17:32.681,1:17:52.034,0:00:19.352
727,1:17:33.749,1:17:53.001,0:00:19.252
729,1:17:52.768,1:17:55.137,0:00:02.369
730,1:17:54.036,1:17:55.971,0:00:01.935
731,1:17:56.371,1:18:11.920,0:00:15.548
732,1:18:04.780,1:18:06.515,0:00:01.735
733,1:18:07.082,1:18:37.813,0:00:30.730
734,1:18:12.721,1:18:12.788,0:00:00.066
735,1:18:12.721,1:18:14.456,0:00:01.735
736,1:18:22.397,1:18:36.478,0:00:14.080
737,1:18:26.635,1:18:33.675,0:00:07.040
738,1:18:29.604,1:18:30.639,0:00:01.034
739,1:18:34.209,1:18:35.077,0:00:00.867
740,1:18:37.179,1:18:38.814,0:00:01.634
742,1:18:38.847,1:18:40.282,0:00:01.434
743,1:18:43.652,1:18:59.101,0:00:15.448
745,1:18:48.123,1:18:48.657,0:00:00.533
746,1:18:48.924,1:18:53.228,0:00:04.304
747,1:18:55.497,1:19:13.515,0:00:18.018
748,1:18:59.801,1:19:01.503,0:00:01.701
749,1:19:14.449,1:19:16.485,0:00:02.035
750,1:20:18.013,1:20:32.594,0:00:14.581
751,1:20:23.585,1:20:39.534,0:00:15.949
752,1:20:33.195,1:20:34.229,0:00:01.034
753,1:20:40.468,1:20:41.102,0:00:00.633
754,1:20:40.602,1:20:41.770,0:00:01.167
755,1:20:41.469,1:20:46.975,0:00:05.505
758,1:20:56.218,1:21:14.369,0:00:18.151
759,1:20:57.085,1:21:15.804,0:00:18.718
760,1:21:03.258,1:21:21.343,0:00:18.084
761,1:21:05.227,1:21:05.260,0:00:00.033
762,1:21:08.930,1:21:26.815,0:00:17.884
763,1:21:15.403,1:21:17.372,0:00:01.968
764,1:21:16.705,1:21:18.673,0:00:01.968
765,1:21:22.444,1:21:24.212,0:00:01.768
766,1:21:27.916,1:21:29.584,0:00:01.668
767,1:21:33.922,1:21:48.470,0:00:14.547
768,1:21:34.356,1:21:41.963,0:00:07.607
771,1:21:41.696,1:21:49.704,0:00:08.008
773,1:21:44.833,1:22:10.392,0:00:25.558
774,1:21:48.403,1:22:05.820,0:00:17.417
775,1:21:49.738,1:21:51.439,0:00:01.701
776,1:21:51.239,1:21:58.213,0:00:06.973
778,1:21:54.509,1:21:55.243,0:00:00.734
779,1:21:58.546,1:21:58.847,0:00:00.300
780,1:22:00.081,1:22:09.224,0:00:09.142
781,1:22:06.888,1:22:08.456,0:00:01.568
785,1:22:11.393,1:22:13.595,0:00:02.202
786,1:22:16.031,1:22:19.134,0:00:03.103
790,1:22:41.189,1:22:41.323,0:00:00.133
791,1:22:57.405,1:23:03.845,0:00:06.439
792,1:22:58.340,1:23:03.345,0:00:05.005
794,1:23:04.379,1:23:04.779,0:00:00.400
795,1:23:04.312,1:23:04.713,0:00:00.400
796,1:23:05.146,1:23:10.652,0:00:05.505
797,1:23:08.249,1:23:23.798,0:00:15.548
798,1:23:12.354,1:23:20.929,0:00:08.575
799,1:23:25.734,1:23:26.735,0:00:01.001
800,1:23:32.741,1:23:33.975,0:00:01.234
801,1:23:44.719,1:23:59.334,0:00:14.614
802,1:24:24.426,1:24:31.232,0:00:06.806
804,1:24:31.599,1:24:32.067,0:00:00.467
805,1:25:02.430,1:25:02.931,0:00:00.500
806,1:25:03.298,1:25:08.069,0:00:04.771
807,1:25:15.143,1:25:15.777,0:00:00.633
809,1:25:16.111,1:25:21.049,0:00:04.938
810,1:25:40.902,1:25:56.651,0:00:15.749
811,1:25:42.704,1:25:58.353,0:00:15.648
812,1:25:44.839,1:26:00.555,0:00:15.715
814,1:25:57.519,1:25:58.720,0:00:01.201
815,1:25:58.753,1:26:00.088,0:00:01.334
817,1:26:01.389,1:26:02.824,0:00:01.434
818,1:26:04.759,1:26:07.028,0:00:02.268
820,1:26:07.428,1:26:24.546,0:00:17.117
821,1:26:08.363,1:26:26.781,0:00:18.418
824,1:26:21.109,1:26:21.676,0:00:00.567
825,1:26:21.876,1:26:28.550,0:00:06.673
826,1:26:26.214,1:26:29.117,0:00:02.902
827,1:26:25.613,1:26:27.348,0:00:01.735
830,1:26:30.218,1:26:52.640,0:00:22.422
838,1:26:51.940,1:26:52.440,0:00:00.500
840,1:26:52.774,1:26:57.245,0:00:04.471
841,1:27:04.886,1:27:21.035,0:00:16.149
842,1:27:17.699,1:27:18.099,0:00:00.400
843,1:27:18.366,1:27:22.303,0:00:03.937
844,1:27:23.137,1:28:49.090,0:01:25.952
845,1:27:34.048,1:27:43.258,0:00:09.209
851,1:28:50.091,1:28:52.226,0:00:02.135
855,1:29:13.915,1:31:29.383,0:02:15.468
856,1:29:25.493,1:29:32.066,0:00:06.573
857,1:29:32.467,1:29:32.867,0:00:00.400
858,1:29:50.318,1:29:58.493,0:00:08.174
860,1:30:04.198,1:30:04.699,0:00:00.500
861,1:30:04.999,1:30:10.071,0:00:05.071
862,1:30:17.712,1:30:18.246,0:00:00.533
863,1:30:18.613,1:30:25.686,0:00:07.073
864,1:30:20.581,1:30:31.893,0:00:11.311
865,1:30:26.888,1:30:30.591,0:00:03.703
866,1:30:31.559,1:30:49.877,0:00:18.318
867,1:30:32.860,1:30:39.066,0:00:06.206
868,1:30:32.527,1:30:33.027,0:00:00.500
869,1:30:35.863,1:30:44.605,0:00:08.742
870,1:30:39.634,1:30:48.676,0:00:09.042
871,1:30:45.339,1:30:46.107,0:00:00.767
872,1:30:46.741,1:30:47.375,0:00:00.633
873,1:30:47.742,1:30:54.282,0:00:06.539
875,1:30:49.744,1:30:50.945,0:00:01.201
876,1:31:15.736,1:31:34.388,0:00:18.651
877,1:31:16.838,1:31:35.490,0:00:18.651
882,1:31:29.550,1:36:39.460,0:05:09.909
883,1:31:35.356,1:31:37.492,0:00:02.135
884,1:31:36.924,1:31:39.026,0:00:02.102
886,1:31:45.900,1:31:47.301,0:00:01.401
887,1:31:47.802,1:31:58.880,0:00:11.077
888,1:32:06.387,1:32:11.726,0:00:05.338
889,1:32:11.759,1:32:43.324,0:00:31.564
890,1:32:11.993,1:32:12.326,0:00:00.333
891,1:32:19.066,1:32:23.638,0:00:04.571
892,1:32:23.905,1:32:24.205,0:00:00.300
893,1:32:24.171,1:32:25.006,0:00:00.834
894,1:32:37.118,1:32:37.685,0:00:00.567
895,1:33:00.374,1:33:02.877,0:00:02.502
897,1:33:06.781,1:33:22.630,0:00:15.849
898,1:33:48.956,1:33:51.325,0:00:02.369
899,1:33:52.360,1:34:15.816,0:00:23.456
900,1:33:54.595,1:33:56.497,0:00:01.901
902,1:33:57.431,1:34:22.590,0:00:25.158
903,1:34:28.729,1:34:44.512,0:00:15.782
904,1:34:45.179,1:34:46.714,0:00:01.534
905,1:35:01.696,1:35:23.250,0:00:21.554
906,1:35:03.798,1:35:04.565,0:00:00.767
907,1:35:04.932,1:35:27.221,0:00:22.288
908,1:35:05.700,1:35:27.021,0:00:21.321
911,1:35:28.155,1:35:30.725,0:00:02.569
912,1:35:28.989,1:35:39.734,0:00:10.744
913,1:35:41.001,1:35:42.937,0:00:01.935
914,1:35:46.574,1:36:02.423,0:00:15.849
919,1:35:57.585,1:36:17.805,0:00:20.220
921,1:35:59.920,1:36:03.891,0:00:03.970
922,1:36:05.893,1:36:07.261,0:00:01.368
923,1:36:14.034,1:36:19.306,0:00:05.271
924,1:36:18.939,1:36:20.674,0:00:01.735
925,1:36:19.673,1:36:20.007,0:00:00.333
926,1:36:20.174,1:36:20.541,0:00:00.367
927,1:36:20.775,1:36:24.745,0:00:03.970
928,1:36:41.829,1:36:46.467,0:00:04.637
929,1:36:44.231,1:36:45.699,0:00:01.468
930,1:36:46.700,1:36:52.373,0:00:05.672
931,1:36:46.767,1:36:47.134,0:00:00.367
933,1:36:53.474,1:36:55.476,0:00:02.002
934,1:36:52.873,1:36:52.973,0:00:00.100
935,1:36:56.177,1:37:15.262,0:00:19.085
936,1:36:57.311,1:37:02.049,0:00:04.738
937,1:37:02.349,1:37:02.716,0:00:00.367
938,1:37:52.533,1:37:57.805,0:00:05.271
939,1:37:58.038,1:37:58.505,0:00:00.467
940,1:38:03.110,1:38:04.912,0:00:01.801
941,1:38:06.080,1:38:24.265,0:00:18.184
942,1:38:15.322,1:38:39.280,0:00:23.957
943,1:38:40.981,1:39:07.007,0:00:26.025
945,1:38:56.597,1:38:58.065,0:00:01.468
946,1:39:18.118,1:39:31.532,0:00:13.413
947,1:39:22.957,1:39:36.770,0:00:13.813
948,1:39:31.899,1:39:49.283,0:00:17.384
949,1:39:37.104,1:39:38.372,0:00:01.267
950,1:39:51.185,1:39:55.055,0:00:03.870
954,1:39:55.356,1:39:55.656,0:00:00.300
955,1:40:00.361,1:40:03.097,0:00:02.736
956,1:40:00.494,1:40:07.901,0:00:07.407
957,1:40:04.465,1:40:32.159,0:00:27.694
958,1:40:06.000,1:40:12.406,0:00:06.406
959,1:40:06.367,1:40:11.472,0:00:05.105
961,1:40:08.502,1:40:20.280,0:00:11.778
962,1:40:11.772,1:40:12.072,0:00:00.300
963,1:40:21.682,1:40:23.984,0:00:02.302
971,1:41:59.146,1:42:06.553,0:00:07.407
972,1:42:06.954,1:42:07.654,0:00:00.700
974,1:42:13.293,1:42:22.102,0:00:08.808
975,1:42:18.132,1:42:24.905,0:00:06.773
976,1:42:22.769,1:42:23.470,0:00:00.700
977,1:42:25.606,1:42:35.048,0:00:09.442
978,1:42:25.372,1:42:25.772,0:00:00.400
979,1:42:26.240,1:42:36.016,0:00:09.776
981,1:42:35.849,1:42:36.517,0:00:00.667
982,1:42:36.683,1:42:37.417,0:00:00.734
984,1:42:44.525,1:42:45.058,0:00:00.533
986,1:42:45.459,1:42:47.060,0:00:01.601
988,1:42:45.259,1:42:45.726,0:00:00.467
989,1:42:45.359,1:42:51.632,0:00:06.272
990,1:42:46.326,1:42:52.599,0:00:06.272
994,1:42:47.628,1:42:58.972,0:00:11.344
995,1:42:47.494,1:43:03.210,0:00:15.715
997,1:42:52.633,1:42:54.434,0:00:01.801
998,1:42:55.335,1:43:12.252,0:00:16.916
999,1:42:59.506,1:43:01.141,0:00:01.634
1000,1:43:03.443,1:43:23.430,0:00:19.986
1004,1:43:08.482,1:43:11.618,0:00:03.136
1005,1:43:12.619,1:43:31.305,0:00:18.685
1006,1:43:24.298,1:43:27.968,0:00:03.670
1007,1:44:26.960,1:44:28.662,0:00:01.701
1008,1:44:29.529,1:44:47.314,0:00:17.784
1009,1:44:35.102,1:45:50.143,0:01:15.041
1010,1:44:39.873,1:44:44.645,0:00:04.771
1011,1:44:44.811,1:45:03.664,0:00:18.852
1012,1:44:44.945,1:44:45.479,0:00:00.533
1014,1:44:48.482,1:44:51.118,0:00:02.635
1015,1:44:48.915,1:44:54.588,0:00:05.672
1017,1:44:54.855,1:44:55.389,0:00:00.533
1021,1:44:58.158,1:45:05.232,0:00:07.073
1024,1:45:04.298,1:45:05.899,0:00:01.601
1027,1:45:05.565,1:45:05.966,0:00:00.400
1028,1:45:22.783,1:45:44.571,0:00:21.788
1029,1:45:37.698,1:46:08.428,0:00:30.730
1030,1:45:39.199,1:45:55.182,0:00:15.982
1031,1:45:47.074,1:45:48.709,0:00:01.634
1032,1:45:51.411,1:45:53.013,0:00:01.601
1033,1:45:55.816,1:45:57.317,0:00:01.501
1035,1:45:59.286,1:46:13.667,0:00:14.381
1036,1:45:59.419,1:46:00.987,0:00:01.568
1037,1:46:00.287,1:46:14.868,0:00:14.581
1038,1:46:00.987,1:47:21.401,0:01:20.413
1040,1:46:09.229,1:46:10.997,0:00:01.768
1041,1:46:14.334,1:46:16.336,0:00:02.002
1042,1:46:15.569,1:46:17.471,0:00:01.901
1046,1:46:33.687,1:46:38.058,0:00:04.371
1047,1:46:38.525,1:46:38.725,0:00:00.200
1048,1:46:42.062,1:46:58.211,0:00:16.149
1049,1:46:42.963,1:46:42.996,0:00:00.033
1050,1:46:52.839,1:46:58.845,0:00:06.006
1051,1:46:59.279,1:46:59.613,0:00:00.333
1052,1:46:59.579,1:47:00.914,0:00:01.334
1054,1:47:12.859,1:47:16.496,0:00:03.636
1055,1:47:14.127,1:47:18.331,0:00:04.204
1056,1:47:16.797,1:47:17.063,0:00:00.266
1057,1:47:18.665,1:47:18.965,0:00:00.300
1058,1:47:22.002,1:47:22.469,0:00:00.467
1059,1:47:23.537,1:47:31.745,0:00:08.208
1060,1:47:25.172,1:47:30.544,0:00:05.372
1061,1:47:37.384,1:47:43.023,0:00:05.638
1062,1:47:43.423,1:47:43.824,0:00:00.400
1068,1:48:31.037,1:49:10.110,0:00:39.072
1071,1:48:54.995,1:49:02.269,0:00:07.273
1072,1:48:55.228,1:49:03.370,0:00:08.141
1074,1:49:03.603,1:49:38.438,0:00:34.834
1076,1:49:04.871,1:49:07.507,0:00:02.635
1077,1:49:03.904,1:49:04.638,0:00:00.734
1079,1:49:04.070,1:49:04.070,0:00:00.000
1082,1:49:08.441,1:49:16.016,0:00:07.574
1083,1:49:10.744,1:49:12.612,0:00:01.868
1084,1:49:13.380,1:49:19.953,0:00:06.573
1085,1:49:13.813,1:49:15.882,0:00:02.068
1086,1:49:16.149,1:49:24.057,0:00:07.907
1087,1:49:17.284,1:49:17.918,0:00:00.633
1088,1:49:18.285,1:49:25.625,0:00:07.340
1090,1:49:20.253,1:49:21.221,0:00:00.967
1091,1:49:21.087,1:49:21.655,0:00:00.567
1092,1:49:21.855,1:49:36.069,0:00:14.214
1093,1:49:24.491,1:49:25.058,0:00:00.567
1094,1:49:25.392,1:49:30.764,0:00:05.372
1096,1:49:27.294,1:49:28.662,0:00:01.368
1098,1:49:36.703,1:49:37.203,0:00:00.500
1102,1:49:43.944,1:49:44.411,0:00:00.467
1103,1:49:44.644,1:49:48.815,0:00:04.170
1104,1:50:06.800,1:50:07.701,0:00:00.900
1105,1:50:06.333,1:50:08.168,0:00:01.835
1106,1:50:08.435,1:50:19.813,0:00:11.378
1107,1:50:09.202,1:50:26.019,0:00:16.816
1108,1:50:26.886,1:50:30.624,0:00:03.737
1109,1:50:32.225,1:54:17.917,0:03:45.692
1110,1:50:44.437,1:50:57.050,0:00:12.612
1111,1:50:44.771,1:50:48.675,0:00:03.903
1112,1:50:54.247,1:50:54.614,0:00:00.367
1114,1:50:58.051,1:50:59.319,0:00:01.267
1116,1:51:02.055,1:51:04.357,0:00:02.302
1117,1:51:14.668,1:51:30.483,0:00:15.815
1118,1:51:15.635,1:51:31.885,0:00:16.249
1124,1:51:31.251,1:51:32.986,0:00:01.735
1125,1:51:32.719,1:51:34.154,0:00:01.434
1126,1:51:56.443,1:52:03.049,0:00:06.606
1127,1:51:57.210,1:52:03.917,0:00:06.706
1128,1:51:57.410,1:52:04.784,0:00:07.374
1129,1:52:03.583,1:52:04.150,0:00:00.567
1130,1:52:04.517,1:52:04.951,0:00:00.433
1132,1:52:04.451,1:52:04.951,0:00:00.500
1133,1:52:05.118,1:52:09.389,0:00:04.270
1134,1:52:10.223,1:52:42.555,0:00:32.332
1137,1:52:32.746,1:52:33.313,0:00:00.567
1138,1:52:33.580,1:52:38.184,0:00:04.604
1139,1:52:34.314,1:52:35.982,0:00:01.668
1140,1:52:36.783,1:52:51.464,0:00:14.681
1142,1:52:41.788,1:52:42.422,0:00:00.633
1143,1:52:42.789,1:52:48.495,0:00:05.705
1144,1:52:44.858,1:52:50.396,0:00:05.538
1146,1:52:49.596,1:53:48.121,0:00:58.525
1147,1:52:50.730,1:52:51.164,0:00:00.433
1148,1:54:06.039,1:54:07.607,0:00:01.568
1149,1:54:07.240,1:54:09.142,0:00:01.901
1150,1:54:08.374,1:54:20.220,0:00:11.845
1151,1:54:09.709,1:54:20.186,0:00:10.477
1152,1:54:12.979,1:54:16.950,0:00:03.970
1154,1:54:21.287,1:54:24.557,0:00:03.269
1155,1:54:24.390,1:54:25.325,0:00:00.934
1156,1:54:27.961,1:54:30.930,0:00:02.969
1157,1:54:31.231,1:54:34.934,0:00:03.703
1159,1:54:35.735,1:54:36.269,0:00:00.533
1160,1:54:46.312,1:54:50.817,0:00:04.504
1161,1:54:49.983,1:54:56.289,0:00:06.306
1162,1:54:51.384,1:54:51.618,0:00:00.233
1163,1:54:53.820,1:54:55.889,0:00:02.068
1164,1:54:57.924,1:55:06.599,0:00:08.675
1165,1:55:08.234,1:55:25.018,0:00:16.783
1166,1:55:09.435,1:55:46.706,0:00:37.270
1167,1:55:12.972,1:55:13.640,0:00:00.667
1172,1:55:21.147,1:55:25.385,0:00:04.237
1173,1:55:18.811,1:55:29.055,0:00:10.243
1174,1:55:24.651,1:55:38.298,0:00:13.646
1175,1:55:26.486,1:58:42.248,0:03:15.762
1176,1:55:29.355,1:56:15.168,0:00:45.812
1177,1:55:38.998,1:55:40.333,0:00:01.334
1178,1:55:49.008,1:56:07.493,0:00:18.485
1179,1:56:09.429,1:56:11.397,0:00:01.968
1180,1:56:16.169,1:56:18.137,0:00:01.968
1182,1:56:51.371,1:56:58.778,0:00:07.407
1183,1:56:52.038,1:56:56.476,0:00:04.437
1184,1:56:55.008,1:57:10.590,0:00:15.582
1185,1:56:56.876,1:56:57.243,0:00:00.367
1186,1:56:59.245,1:56:59.912,0:00:00.667
1187,1:57:12.258,1:57:14.127,0:00:01.868
1188,1:57:24.337,1:59:02.435,0:01:38.098
1189,1:57:31.177,1:57:31.677,0:00:00.500
1190,1:57:31.911,1:57:37.984,0:00:06.072
1192,1:57:33.546,1:57:34.013,0:00:00.467
1193,1:57:33.613,1:57:34.047,0:00:00.433
1194,1:57:34.313,1:57:39.585,0:00:05.271
1195,1:57:34.547,1:57:39.318,0:00:04.771
1197,1:57:50.797,1:58:03.709,0:00:12.912
1198,1:57:56.736,1:57:59.172,0:00:02.435
1200,1:58:00.540,1:58:20.726,0:00:20.186
1202,1:58:04.310,1:58:05.578,0:00:01.267
1203,1:58:18.891,1:58:51.023,0:00:32.132
1208,1:58:44.317,1:58:47.620,0:00:03.303
1212,1:58:49.088,1:58:50.389,0:00:01.301
1213,1:58:49.555,1:59:12.945,0:00:23.390
1214,1:58:50.790,1:59:07.573,0:00:16.783
1215,1:58:51.724,1:59:12.478,0:00:20.754
1216,1:58:58.564,1:58:58.631,0:00:00.066
1217,1:59:02.568,1:59:18.518,0:00:15.949
1221,1:59:08.508,1:59:10.209,0:00:01.701
1223,1:59:09.408,1:59:11.677,0:00:02.268
1224,1:59:12.578,1:59:16.349,0:00:03.770
1226,1:59:16.549,1:59:30.463,0:00:13.913
1227,1:59:17.350,1:59:19.619,0:00:02.268
1228,1:59:26.926,1:59:36.969,0:00:10.043
1229,1:59:27.860,1:59:34.400,0:00:06.539
1231,1:59:34.500,1:59:40.306,0:00:05.805
1232,1:59:35.401,1:59:35.701,0:00:00.300
1233,1:59:42.308,1:59:57.056,0:00:14.748
1234,1:59:42.441,1:59:56.789,0:00:14.347
1235,1:59:43.042,1:59:56.822,0:00:13.780
1236,1:59:47.446,1:59:57.657,0:00:10.210
1237,1:59:48.214,1:59:58.524,0:00:10.310
1238,1:59:50.917,2:02:27.573,0:02:36.656
1239,1:59:56.389,2:00:02.528,0:00:06.139
1241,1:59:57.957,1:59:58.591,0:00:00.633
1242,1:59:58.391,2:00:00.459,0:00:02.068
1243,1:59:59.091,1:59:59.592,0:00:00.500
1251,2:00:02.995,2:00:08.834,0:00:05.839
1252,2:00:03.763,2:00:10.403,0:00:06.639
1254,2:00:06.699,2:00:08.634,0:00:01.935
1256,2:00:09.235,2:00:23.015,0:00:13.780
1257,2:00:09.268,2:00:09.602,0:00:00.333
1259,2:00:24.016,2:00:24.784,0:00:00.767
1261,2:00:27.787,2:00:28.221,0:00:00.433
1262,2:00:28.387,2:00:36.729,0:00:08.341
1263,2:00:35.828,2:00:38.097,0:00:02.268
1264,2:00:37.330,2:00:37.863,0:00:00.533
1267,2:00:42.101,2:00:55.147,0:00:13.046
1268,2:00:55.948,2:01:09.462,0:00:13.513
1270,2:01:10.162,2:01:10.730,0:00:00.567
1271,2:01:12.098,2:01:13.766,0:00:01.668
1272,2:01:21.407,2:01:40.493,0:00:19.085
1275,2:01:38.357,2:01:45.598,0:00:07.240
1279,2:01:41.494,2:01:43.429,0:00:01.935
1280,2:01:46.232,2:01:46.632,0:00:00.400
1283,2:02:01.447,2:02:02.815,0:00:01.368
1284,2:02:03.282,2:02:19.031,0:00:15.749
1285,2:02:04.150,2:02:11.057,0:00:06.906
1286,2:02:09.388,2:02:10.990,0:00:01.601
1287,2:02:11.457,2:04:23.722,0:02:12.265
1288,2:02:11.590,2:02:12.058,0:00:00.467
1289,2:02:43.689,2:02:49.128,0:00:05.438
1293,2:02:46.492,2:02:47.059,0:00:00.567
1294,2:02:47.660,2:02:53.165,0:00:05.505
1295,2:02:49.395,2:02:49.729,0:00:00.333
1296,2:02:54.967,2:02:56.635,0:00:01.668
1298,2:02:56.602,2:02:58.304,0:00:01.701
1299,2:02:57.403,2:03:16.055,0:00:18.651
1301,2:02:59.171,2:03:00.306,0:00:01.134
1302,2:03:00.306,2:03:17.623,0:00:17.317
1303,2:03:01.140,2:03:02.541,0:00:01.401
1304,2:03:04.343,2:03:17.456,0:00:13.113
1309,2:03:59.999,2:04:01.534,0:00:01.534
1314,2:04:25.758,2:04:43.209,0:00:17.450
1317,2:04:28.394,2:04:29.962,0:00:01.568
1318,2:04:40.573,2:04:41.607,0:00:01.034
1319,2:04:42.475,2:09:42.674,0:05:00.199
1320,2:04:42.775,2:04:44.243,0:00:01.468
1321,2:04:45.678,2:04:47.613,0:00:01.935
1323,2:05:00.326,2:05:00.726,0:00:00.400
1325,2:05:00.559,2:05:01.060,0:00:00.500
1326,2:05:01.327,2:05:06.432,0:00:05.105
1327,2:05:01.327,2:05:06.632,0:00:05.305
1329,2:05:09.201,2:05:16.175,0:00:06.973
1335,2:05:11.704,2:05:13.339,0:00:01.634
1336,2:05:13.672,2:05:20.145,0:00:06.473
1338,2:05:20.513,2:05:20.946,0:00:00.433
1341,2:05:47.740,2:05:48.440,0:00:00.700
1343,2:05:52.912,2:05:53.445,0:00:00.533
1344,2:05:53.846,2:06:00.185,0:00:06.339
1346,2:05:58.217,2:06:13.799,0:00:15.582
1347,2:06:15.467,2:06:15.568,0:00:00.100
1348,2:06:16.902,2:06:18.404,0:00:01.501
1349,2:06:42.161,2:06:43.262,0:00:01.101
1350,2:06:43.862,2:06:59.645,0:00:15.782
1354,2:06:54.940,2:07:00.346,0:00:05.405
1356,2:07:00.746,2:07:01.113,0:00:00.367
1361,2:07:05.651,2:07:07.119,0:00:01.468
1363,2:07:11.957,2:07:15.027,0:00:03.069
1364,2:07:21.734,2:07:26.338,0:00:04.604
1365,2:07:22.935,2:07:27.339,0:00:04.404
1368,2:07:38.550,2:07:45.958,0:00:07.407
1369,2:07:45.391,2:07:53.298,0:00:07.907
1370,2:07:45.457,2:07:52.765,0:00:07.307
1372,2:07:46.025,2:07:52.131,0:00:06.106
1373,2:07:46.091,2:07:53.532,0:00:07.440
1374,2:07:47.026,2:07:47.493,0:00:00.467
1375,2:07:52.264,2:07:52.865,0:00:00.600
1377,2:07:54.033,2:07:59.872,0:00:05.839
1378,2:07:54.533,2:08:00.606,0:00:06.072
1379,2:08:00.172,2:08:00.639,0:00:00.467
1380,2:08:01.306,2:08:01.774,0:00:00.467
1384,2:08:24.763,2:08:32.905,0:00:08.141
1388,2:08:33.472,2:08:34.073,0:00:00.600
1389,2:08:37.376,2:08:43.482,0:00:06.106
1390,2:08:57.129,2:09:02.301,0:00:05.171
1391,2:08:58.097,2:09:02.935,0:00:04.838
1392,2:08:58.430,2:09:03.402,0:00:04.971
1395,2:09:02.701,2:09:03.102,0:00:00.400
1396,2:09:03.335,2:09:03.635,0:00:00.300
1397,2:09:03.769,2:09:04.169,0:00:00.400
1399,2:09:16.882,2:09:18.117,0:00:01.234
1400,2:09:18.484,2:09:32.297,0:00:13.813
1401,2:09:28.861,2:09:36.034,0:00:07.173
1406,2:09:31.029,2:09:33.966,0:00:02.936
1413,2:09:42.174,2:13:35.240,0:03:53.066
1414,2:09:53.786,2:09:57.422,0:00:03.636
1415,2:10:10.803,2:10:25.884,0:00:15.081
1416,2:10:22.181,2:10:28.620,0:00:06.439
1417,2:10:26.819,2:10:29.054,0:00:02.235
1419,2:10:29.021,2:10:29.454,0:00:00.433
1424,2:11:03.789,2:11:18.670,0:00:14.881
1425,2:11:09.728,2:11:29.114,0:00:19.386
1426,2:11:09.895,2:11:30.816,0:00:20.920
1427,2:11:19.238,2:11:21.506,0:00:02.268
1428,2:11:22.708,2:11:23.242,0:00:00.533
1430,2:11:23.508,2:11:28.413,0:00:04.904
1432,2:11:30.082,2:11:32.251,0:00:02.168
1433,2:11:31.717,2:11:33.952,0:00:02.235
1434,2:11:33.819,2:11:34.620,0:00:00.800
1436,2:11:34.353,2:11:35.120,0:00:00.767
1440,2:11:35.120,2:11:43.829,0:00:08.708
1441,2:11:35.621,2:11:43.228,0:00:07.607
1444,2:12:43.088,2:12:47.626,0:00:04.537
1445,2:12:48.026,2:12:48.327,0:00:00.300
1447,2:13:42.347,2:13:47.753,0:00:05.405
1449,2:13:53.558,2:14:00.132,0:00:06.573
1450,2:13:53.592,2:14:09.674,0:00:16.082
1451,2:14:11.810,2:14:12.511,0:00:00.700
